data_captura,data_referencia,NOME DO CONGLOMERADO,CLASSE DO CONGLOMERADO,CNPJ PARTICIPANTE,NOME DO PARTICIPANTE,TIPO PARTICIPAÇÃO,DATA INÍCIO,UF
2026-07-08,2026-06-01,99PAY IP - PRUDENCIAL,Privado Nacional,2431-31-02,99PAY INSTITUICAO DE PAGAMENTO S.A.,LIDER,2024-07-10,SP
2026-07-08,2026-06-01,99PAY IP - PRUDENCIAL,Privado Nacional,5937-95-65,99PAY SOCIEDADE DE CRÉDITO DIRETO S.A.,PARTICIPANTE,2024-11-27,SP
2026-07-08,2026-06-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,2819-56-67,BANCO ABC BRASIL S.A.,LIDER,2014-01-02,SP
2026-07-08,2026-06-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,7199-53-85,ABC BRASIL ADMINISTRACAO E PARTICIPACOES LTDA.,PARTICIPANTE,2014-01-02,SP
2026-07-08,2026-06-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,6102-04-79,ABC BRASIL BENEFICIOS CORRETORA DE SEGUROS LTDA,PARTICIPANTE,2025-06-30,SP
2026-07-08,2026-06-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,2919-83-24,ABC BRASIL COMERCIALIZADORA DE ENERGIA LTDA.,PARTICIPANTE,2020-04-30,SP
2026-07-08,2026-06-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,4256-47-69,ABC BRASIL CORRETORA DE SEGUROS LTDA,PARTICIPANTE,2021-07-02,SP
2026-07-08,2026-06-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,3381-76-77,ABC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,PARTICIPANTE,2014-01-02,SP
2026-07-08,2026-06-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,5083-25-90,ABC BRASIL INVESTMENT BANKING LTDA,PARTICIPANTE,2023-06-01,SP
2026-07-08,2026-06-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,5137-74-88,ABC DCM LTDA,PARTICIPANTE,2023-08-01,SP
2026-07-08,2026-06-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,5139-32-35,ABC HOLDING FINANCEIRA LTDA,PARTICIPANTE,2023-08-01,SP
2026-07-08,2026-06-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,4588-09-36,ABC I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,PARTICIPANTE,2023-01-01,
2026-07-08,2026-06-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,5141-97-15,ABC M&A E ECM LTDA,PARTICIPANTE,2023-08-01,SP
