CodInst,NomeInstituicao,Segmento
00000000,IF 00000000,N/D
00000208,IF 00000208,N/D
00066670,IF 00066670,N/D
00068987,IF 00068987,N/D
00075847,IF 00075847,N/D
00106180,IF 00106180,N/D
00122327,IF 00122327,N/D
00129753,IF 00129753,N/D
00141155,IF 00141155,N/D
00162760,IF 00162760,N/D
00184068,IF 00184068,N/D
00204963,IF 00204963,N/D
00250699,IF 00250699,N/D
00259231,IF 00259231,N/D
00309024,IF 00309024,N/D
00315557,IF 00315557,N/D
00329598,IF 00329598,N/D
00336036,IF 00336036,N/D
00360305,Itaú Unibanco S.A.,S1
00411939,IF 00411939,N/D
00416968,Banco da Amazônia S.A.,S2
00429890,IF 00429890,N/D
00460065,IF 00460065,N/D
00512839,IF 00512839,N/D
00517645,IF 00517645,N/D
00543968,IF 00543968,N/D
00548980,IF 00548980,N/D
00556603,IF 00556603,N/D
00655522,IF 00655522,N/D
00694389,IF 00694389,N/D
00694877,IF 00694877,N/D
00698609,IF 00698609,N/D
00707903,IF 00707903,N/D
00714671,IF 00714671,N/D
00731320,IF 00731320,N/D
00778858,IF 00778858,N/D
00795423,IF 00795423,N/D
00803287,IF 00803287,N/D
00804046,IF 00804046,N/D
00806535,IF 00806535,N/D
00815319,IF 00815319,N/D
00869687,IF 00869687,N/D
00881829,IF 00881829,N/D
00913314,IF 00913314,N/D
00946465,IF 00946465,N/D
00952415,IF 00952415,N/D
00966246,IF 00966246,N/D
00968602,IF 00968602,N/D
00968834,IF 00968834,N/D
00971300,IF 00971300,N/D
00991143,IF 00991143,N/D
00991739,IF 00991739,N/D
00997185,IF 00997185,N/D
00997804,IF 00997804,N/D
00999403,IF 00999403,N/D
01009908,IF 01009908,N/D
01023570,IF 01023570,N/D
01027058,Banco Mercantil do Brasil S.A.,S3
01039011,IF 01039011,N/D
01060307,IF 01060307,N/D
01062439,IF 01062439,N/D
01073966,IF 01073966,N/D
01090027,IF 01090027,N/D
01107759,IF 01107759,N/D
01152097,IF 01152097,N/D
01155801,IF 01155801,N/D
01181521,Banco do Nordeste do Brasil S.A.,S2
01187961,IF 01187961,N/D
01205736,IF 01205736,N/D
01235921,IF 01235921,N/D
01259518,IF 01259518,N/D
01286361,IF 01286361,N/D
01288797,IF 01288797,N/D
01301541,IF 01301541,N/D
01330295,IF 01330295,N/D
