AnoMes,hhi,total_carteira,numero_ifs,data_base
201403,412.03995336751865,839707730793154.0,21531,2014-03-31
201406,417.465736410244,863402462806194.0,27780,2014-06-30
201409,408.46697830062993,901681769808175.0,29232,2014-09-30
201412,428.1798569378465,770769222004609.0,28924,2014-12-31
201503,418.37112627853253,939535983104101.0,28678,2015-03-31
201506,429.3855508073177,945318574409149.0,28323,2015-06-30
201509,413.088952349283,844236884690720.0,28033,2015-09-30
201512,402.05732040799444,1043909860749829.0,27805,2015-12-31
201603,437.9447167918591,943942504214430.0,27612,2016-03-31
201606,431.8612142691454,936855096687199.0,27397,2016-06-30
201609,435.5630740173731,987977676325010.0,27143,2016-09-30
201612,426.753284719344,996147358430729.0,26752,2016-12-31
201703,457.2319321282082,933929908089626.0,27981,2017-03-31
201706,430.4902681673552,981487044903378.0,27698,2017-06-30
201709,493.593318290467,806557458368943.0,27418,2017-09-30
201712,443.50655661019505,927433264760848.0,27187,2017-12-31
201803,483.8893252385651,877590570939910.0,27133,2018-03-31
201806,438.7596582965736,857393963817119.0,26856,2018-06-30
201809,427.63798986012415,916241516473307.0,26529,2018-09-30
201812,427.064861446474,968333950190545.0,26361,2018-12-31
201903,399.8035661965539,1023698719445645.0,26127,2019-03-31
201906,417.9578599083813,946495799915590.0,25854,2019-06-30
201909,385.7831135788907,1018302046370934.0,25685,2019-09-30
201912,367.59564995152994,850763995832117.0,25409,2019-12-31
202003,414.2561416934892,1020976562070562.0,25351,2020-03-31
202006,408.4099298394307,1063104828653851.0,25297,2020-06-30
202009,393.90152347317326,1031116688214533.0,25405,2020-09-30
202012,388.4311678247779,984392935863644.0,25520,2020-12-31
202103,360.47254485208566,1295956951999209.0,25552,2021-03-31
202106,347.26831701188786,1338315939105620.0,25631,2021-06-30
202109,358.061506310667,1358310921504860.0,25610,2021-09-30
202112,369.93145959076963,1315247921330718.0,25634,2021-12-31
202203,346.5677694535791,1469558576361413.0,25860,2022-03-31
202206,350.0858152100826,1505878774401649.0,25983,2022-06-30
202209,342.811286065106,1466793693187473.0,26109,2022-09-30
202212,352.6717778836676,1615560961043020.0,26311,2022-12-31
202303,341.4829198839367,1644283474970379.0,26469,2023-03-31
202306,356.43505487054307,1463242144170256.0,26589,2023-06-30
202309,358.5949029502997,1642547859823036.0,26721,2023-09-30
202312,346.3874907726925,1554614699629359.0,26770,2023-12-31
202403,364.44494963180506,1528901116433624.0,26980,2024-03-31
202406,330.9400881711271,1865141092448313.0,27004,2024-06-30
202409,322.16301560335074,1937944721766735.0,27243,2024-09-30
202412,328.00021068505316,1970029915582935.0,27340,2024-12-31
202503,0.0,0.0,25724,2025-03-31
202506,0.0,0.0,25754,2025-06-30
202509,0.0,0.0,25910,2025-09-30
202512,0.0,0.0,26452,2025-12-31
202603,0.0,0.0,26382,2026-03-31
