data_base,AnoMes,CodInst,TipoInstituicao,NomeInstituicao,Segmento,ativo_total,NomeRelatorio,NumeroRelatorio,78191,78192,78193,78194,78195,78196,78197,78198,78202,aplicacoes_interfinanceiras,disponibilidades,outros_ativos_realizaveis,outros_creditos_liquido,permanente_ajustado,tvm_derivativos
2024-03-31,202403,00000000,3,IF 00000000,N/D,220770513373248.0,Ativo,2,8657875067109.0,-5410401228157.0,81168349442933.0,0.0,0.0,0.0,0.0,0.0,220770513373248.0,46606968868312.0,1999277651511.0,12856965440852.0,24194098827167.0,7378304825813.0,4656654831666.0
2024-06-30,202406,00000000,3,IF 00000000,N/D,225193117583613.0,Ativo,2,87743023325095.0,-5577074643092.0,82165948682003.0,0.0,0.0,0.0,0.0,0.0,225193117583613.0,40776950779712.0,2031257262071.0,13486715847764.0,25872509620106.0,7535904451296.0,53323830940661.0
2024-09-30,202409,00000000,3,IF 00000000,N/D,235207457399175.0,Ativo,2,89813016071181.0,-590428319736.0,83908732873821.0,0.0,0.0,0.0,0.0,0.0,235207457399175.0,55049422074077.0,1968851890443.0,13632146508236.0,25997630664084.0,8142775293816.0,46507898094698.0
2024-12-31,202412,00000000,3,IF 00000000,N/D,230411177984289.0,Ativo,2,92478224989982.0,-5874411169499.0,86603813820483.0,0.0,0.0,0.0,0.0,0.0,230411177984289.0,38646284681473.0,1613107416337.0,13169661955137.0,28263731922299.0,8152091937568.0,53962486250992.0
2024-03-31,202403,00000208,3,IF 00000208,N/D,4895694360571.0,Ativo,2,305836659330.0,-100895114488.0,2957471478812.0,0.0,0.0,0.0,0.0,0.0,4895694360571.0,537374575674.0,19850902758.0,136768875145.0,336991009659.0,20355252589.0,703684992633.0
2024-06-30,202406,00000208,3,IF 00000208,N/D,5296828384968.0,Ativo,2,3042470735113.0,-116827521494.0,2925643213619.0,0.0,0.0,0.0,0.0,0.0,5296828384968.0,492671425614.0,20687465125.0,21504044189.0,44487913816.0,192902711017.0,1005003989543.0
2024-09-30,202409,00000208,3,IF 00000208,N/D,554541060296.0,Ativo,2,3176008097802.0,-67036366406.0,3108971731396.0,0.0,0.0,0.0,0.0,0.0,554541060296.0,586532105161.0,18491407887.0,119626432826.0,466245969761.0,199638760479.0,104590419545.0
2024-12-31,202412,00000208,3,IF 00000208,N/D,610023634829.0,Ativo,2,3676707717749.0,-63528078873.0,3613179638876.0,0.0,0.0,0.0,0.0,0.0,610023634829.0,726076615245.0,1780001694.0,165332679015.0,689422960071.0,205874280878.0,682550157265.0
2024-03-31,202403,00066670,3,IF 00066670,N/D,24101450397.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24101450397.0,0.0,80226213.0,7571025.0,1047744984.0,64616.0,22965843559.0
2024-06-30,202406,00066670,3,IF 00066670,N/D,25812215913.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25812215913.0,0.0,36257222.0,504735.0,851391889.0,64616.0,24919454836.0
2024-09-30,202409,00066670,3,IF 00066670,N/D,26201287634.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26201287634.0,0.0,7017719.0,2523675.0,89197147.0,64616.0,25236550683.0
2024-12-31,202412,00066670,3,IF 00066670,N/D,41980401084.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41980401084.0,0.0,3515855.0,0.0,749731545.0,64616.0,41195446373.0
2024-03-31,202403,00068987,3,IF 00068987,N/D,59087858618.0,Ativo,2,35879552154.0,-2399239836.0,33480312318.0,0.0,0.0,0.0,0.0,0.0,59087858618.0,318702722.0,453913139.0,15806661186.0,376899337.0,1070298366.0,4712747052.0
2024-06-30,202406,00068987,3,IF 00068987,N/D,58568640036.0,Ativo,2,32597477046.0,-2444673344.0,30152803702.0,0.0,0.0,0.0,0.0,0.0,58568640036.0,3024343828.0,455775962.0,16785498011.0,542162025.0,105066109.0,6557395418.0
2024-09-30,202409,00068987,3,IF 00068987,N/D,6511168750.0,Ativo,2,3286504184.0,-2329662768.0,30535379072.0,0.0,0.0,0.0,0.0,0.0,6511168750.0,2443703117.0,479142721.0,23392483232.0,439448347.0,1020789923.0,6800741088.0
2024-12-31,202412,00068987,3,IF 00068987,N/D,61326440286.0,Ativo,2,33602802534.0,-275886124.0,30843941294.0,0.0,0.0,0.0,0.0,0.0,61326440286.0,1975836552.0,591732051.0,19423988758.0,556928288.0,988139341.0,6945874002.0
2024-03-31,202403,00075847,3,IF 00075847,N/D,27790621779.0,Ativo,2,125833656979.0,-4239417302.0,121594239677.0,0.0,0.0,0.0,0.0,0.0,27790621779.0,0.0,899268382.0,137024977009.0,11679856606.0,1888402434.0,4819473682.0
2024-06-30,202406,00075847,3,IF 00075847,N/D,296024090827.0,Ativo,2,134471570572.0,-4281069526.0,130190501046.0,0.0,0.0,0.0,0.0,0.0,296024090827.0,0.0,92755619.0,145641634117.0,12414928175.0,2029997617.0,4819473682.0
2024-09-30,202409,00075847,3,IF 00075847,N/D,29607726232.0,Ativo,2,137495399553.0,-4661419951.0,132833979602.0,0.0,0.0,0.0,0.0,0.0,29607726232.0,0.0,1014841597.0,140860654919.0,14125492244.0,2079483827.0,5162810131.0
2024-12-31,202412,00075847,3,IF 00075847,N/D,315606659514.0,Ativo,2,152797636287.0,-4643102768.0,148154533519.0,0.0,0.0,0.0,0.0,0.0,315606659514.0,0.0,1355057106.0,141933518397.0,16550125689.0,2107278223.0,550614658.0
2024-03-31,202403,00106180,3,IF 00106180,N/D,148045600142.0,Ativo,2,5068539068.0,-25376029.0,5043163039.0,0.0,0.0,0.0,0.0,0.0,148045600142.0,74287932819.0,216985791.0,33644114.0,229282154.0,329879605.0,64935796175.0
2024-06-30,202406,00106180,3,IF 00106180,N/D,149006054937.0,Ativo,2,4988020165.0,-1994010.0,4968080065.0,0.0,0.0,0.0,0.0,0.0,149006054937.0,68257177875.0,229315613.0,55502799.0,244270634.0,3398536241.0,7185317171.0
2024-09-30,202409,00106180,3,IF 00106180,N/D,154930140223.0,Ativo,2,5867855971.0,-19339279.0,5848516692.0,0.0,0.0,0.0,0.0,0.0,154930140223.0,71697445025.0,726065312.0,41086564.0,257905409.0,3496519621.0,7286260160.0
2024-12-31,202412,00106180,3,IF 00106180,N/D,151918309497.0,Ativo,2,4845920304.0,-19229602.0,4826690702.0,0.0,0.0,0.0,0.0,0.0,151918309497.0,7349707186.0,374219.0,35010683.0,2153370.0,5334953585.0,68202674748.0
2024-03-31,202403,00122327,3,IF 00122327,N/D,34282390265.0,Ativo,2,32746584756.0,-2436640494.0,30309944262.0,0.0,0.0,0.0,0.0,0.0,34282390265.0,66000000.0,16420352.0,148472121.0,2926652896.0,71785011.0,1332455.0
2024-06-30,202406,00122327,3,IF 00122327,N/D,34433536225.0,Ativo,2,32521800354.0,-2645389167.0,29876411187.0,0.0,0.0,0.0,0.0,0.0,34433536225.0,118000000.0,44508636.0,147809333.0,3114946251.0,68504909.0,1355909.0
2024-09-30,202409,00122327,3,IF 00122327,N/D,33910013951.0,Ativo,2,32228432832.0,-2660734386.0,29567698446.0,0.0,0.0,0.0,0.0,0.0,33910013951.0,78000000.0,122275741.0,147345515.0,3225456977.0,65894754.0,1342518.0
2024-12-31,202412,00122327,3,IF 00122327,N/D,33027096482.0,Ativo,2,29102015211.0,-2468816685.0,26633198526.0,0.0,0.0,0.0,0.0,0.0,33027096482.0,1480582566.0,65814047.0,1799289512.0,2984346807.0,62498478.0,1366546.0
2024-03-31,202403,00129753,3,IF 00129753,N/D,185449856.0,Ativo,2,82939207.0,-11881901.0,71057306.0,0.0,0.0,0.0,0.0,0.0,185449856.0,0.0,1364.0,126683.0,367688.0,8562.0,110502003.0
2024-06-30,202406,00129753,3,IF 00129753,N/D,192596645.0,Ativo,2,83913953.0,-5057847.0,78856106.0,0.0,0.0,0.0,0.0,0.0,192596645.0,0.0,59319539.0,223019.0,3705047.0,73389.0,50419545.0
2024-09-30,202409,00129753,3,IF 00129753,N/D,196989546.0,Ativo,2,79969552.0,-4107733.0,75861819.0,0.0,0.0,0.0,0.0,0.0,196989546.0,0.0,0.0,111508.0,3570134.0,61158.0,117384927.0
2024-12-31,202412,00129753,3,IF 00129753,N/D,19803781.0,Ativo,2,66492956.0,-375464.0,62738316.0,0.0,0.0,0.0,0.0,0.0,19803781.0,0.0,130924212.0,0.0,4326355.0,48927.0,0.0
2024-03-31,202403,00141155,3,IF 00141155,N/D,633993826.0,Ativo,2,221680552.0,-423807.0,217442482.0,0.0,0.0,0.0,0.0,0.0,633993826.0,40492535.0,28817364.0,0.0,9233101.0,47225627.0,207684808.0
2024-06-30,202406,00141155,3,IF 00141155,N/D,652781593.0,Ativo,2,224875657.0,-441537.0,220460287.0,0.0,0.0,0.0,0.0,0.0,652781593.0,3574906.0,3692171.0,0.0,101858659.0,46566444.0,211225433.0
2024-09-30,202409,00141155,3,IF 00141155,N/D,659008386.0,Ativo,2,224508317.0,-4097892.0,220410425.0,0.0,0.0,0.0,0.0,0.0,659008386.0,10088151.0,58885032.0,0.0,106214072.0,46208248.0,217202458.0
2024-12-31,202412,00141155,3,IF 00141155,N/D,63366962.0,Ativo,2,18151650.0,-3241673.0,178274827.0,0.0,0.0,0.0,0.0,0.0,63366962.0,2526249.0,5501390.0,0.0,108848777.0,45589051.0,220680575.0
2024-03-31,202403,00162760,3,IF 00162760,N/D,19358116077.0,Ativo,2,0.0,0.0,0.0,27012701.0,3178089073.0,158085194.0,-143106425.0,3852421319.0,20148542047.0,5710223306.0,32427465.0,6023732.0,5383560287.0,176633999999985.0,5163709304.0
2024-06-30,202406,00162760,3,IF 00162760,N/D,19826778318.0,Ativo,2,0.0,0.0,0.0,71538231.0,2866280703.0,1553083756.0,-12129100.0,3593069812.0,20603320196.0,783869288.0,24282015.0,7472193.0,533082087.0,14351400000006.0,10863662504.0
2024-09-30,202409,00162760,3,IF 00162760,N/D,20087616865.0,Ativo,2,0.0,0.0,0.0,67769722.0,2326238835.0,1462548668.0,-96801556.0,3028481335.0,20818891199.0,804183868.0,40415525.0,19536385.0,5341242492.0,110394999999925.0,11584921199.0
2024-12-31,202412,00162760,3,IF 00162760,N/D,20237138804.0,Ativo,2,0.0,0.0,0.0,23682104.0,2506044901.0,1479475682.0,-84803696.0,318466115.0,20976876645.0,0.0,36375059.0,94262734.0,5192674592.0,772759999997914.0,12468825834.0
2024-03-31,202403,00184068,3,IF 00184068,N/D,207153553263.0,Ativo,2,2419023128.0,-12095114.0,2406928014.0,0.0,0.0,0.0,0.0,0.0,207153553263.0,34500289006.0,553274.0,8850709001.0,232976453.0,23879837.0,161138217678.0
